0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,13,4,1,2,1,0,0,0,1,0,1,0,1,1
12,13,5,1,2,1,0,0,0,1,0,1,0,1,1
10,12,6,1,2,1,0,0,1,1,1,1,1,1,1
12,11,7,0,2,1,0,1,0,0,0,1,1,1,1
10,11,7,0,2,2,0,0,0,0,1,1,1,1,1
9,12,5,0,2,2,0,0,0,0,1,1,1,1,1
8,10,6,0,2,1,0,1,1,1,1,1,1,1,1
6,10,6,1,2,1,0,1,1,1,1,1,1,1,0
5,9,4,0,2,0,0,1,1,1,1,1,1,1,0
3,9,6,0,2,0,0,1,1,1,1,1,1,0,0
2,9,7,0,2,0,0,1,1,1,1,1,1,0,0
4,10,6,0,2,0,0,1,1,1,1,1,1,1,0
2,9,7,0,2,0,0,1,1,1,1,1,1,0,0
1,9,8,0,2,0,0,1,1,1,1,10,1,0,0
2,9,7,0,2,0,0,1,1,1,1,1,1,1,0
3,11,8,0,2,2,0,1,1,1,1,1,1,1,1
3,10,9,0,2,1,0,1,1,1,1,1,1,1,1
4,11,7,0,2,2,0,1,1,1,1,1,1,1,1
4,10,8,1,2,0,0,1,1,1,1,1,1,1,0
4,11,7,0,2,1,0,1,1,1,1,1,1,1,1
4,12,8,0,2,2,0,0,0,0,1,1,1,1,1
5,12,7,0,2,2,0,0,0,0,1,1,1,1,1
4,10,6,0,2,2,0,1,1,1,1,1,1,1,1
2,8,8,0,2,1,0,1,1,1,1,1,1,1,10
2,10,8,0,2,2,0,1,1,1,1,1,1,1,10
2,10,8,0,2,2,0,1,1,1,1,1,1,1,10
2,10,8,0,2,2,0,1,1,1,1,1,1,1,10
2,12,10,0,1,2,0,0,0,0,1,1,1,1,1
3,12,9,0,1,2,0,0,0,0,1,1,1,1,1
3,12,9,0,2,2,0,1,0,0,0,1,1,1,1
2,10,8,0,2,2,0,0,1,1,1,1,1,1,10
2,8,6,0,2,0,0,1,1,1,1,1,1,1,1
3,10,7,2,2,0,0,1,1,1,1,1,1,1,1
5,10,5,2,2,0,0,1,1,1,1,1,1,1,1
6,12,6,2,2,0,0,0,1,1,0,1,0,1,1
6,12,6,2,2,0,0,0,1,1,0,1,0,1,1
6,12,6,2,2,0,0,0,1,1,0,1,0,1,1
5,13,8,2,2,0,0,0,1,1,0,1,0,1,1
4,13,9,2,2,0,0,0,1,1,0,1,0,1,1
3,14,11,2,2,0,0,0,1,1,0,1,0,1,1
5,16,11,2,2,0,0,0,1,1,0,1,0,1,1
4,15,11,2,2,0,0,0,1,1,0,1,0,1,1
2,14,12,2,2,0,0,1,1,10,1,1,1,1,1
1,12,11,1,2,0,0,1,1,1,1,10,1,1,1
