0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,13,4,1,0,0,1,1,1,1,1,0,1,1,1
11,12,5,1,0,0,1,1,1,1,1,1,1,1,1
11,11,6,1,0,0,1,0,1,1,1,1,1,1,1
11,10,7,1,0,0,1,1,1,1,1,1,0,0,0
10,11,7,1,0,0,1,1,1,1,1,1,1,0,0
8,11,5,1,0,0,1,1,0,1,1,1,1,1,1
7,11,6,1,0,0,1,1,0,1,1,1,1,1,1
6,10,6,1,0,0,1,1,1,0,1,1,1,1,1
4,8,4,0,0,0,1,1,0,1,1,0,1,1,1
3,9,6,0,0,0,1,1,1,0,1,1,1,1,1
3,10,7,0,0,0,1,1,1,1,1,1,0,1,1
3,9,6,0,0,0,1,1,1,0,1,1,1,1,1
2,9,7,0,0,0,1,1,1,1,1,1,0,1,1
2,10,8,0,0,0,1,1,1,1,1,1,0,0,1
3,10,7,1,0,0,1,1,1,1,1,1,0,0,1
3,11,8,1,0,0,1,1,1,1,1,1,0,0,1
3,10,9,1,0,0,1,1,1,1,1,1,0,0,1
3,10,7,0,0,0,1,1,1,1,1,1,0,1,1
3,11,8,0,0,0,1,1,1,0,1,1,1,1,1
5,12,7,1,0,0,1,1,0,0,1,0,1,1,1
4,12,8,1,0,0,1,1,1,0,1,1,1,1,1
4,11,7,1,0,0,1,1,1,1,1,1,0,1,1
3,9,6,1,0,0,1,1,1,1,1,1,0,1,1
3,9,8,1,0,0,1,1,1,1,1,1,0,0,1
2,10,8,1,0,0,1,10,1,1,1,1,1,0,0
2,10,8,1,0,0,1,10,1,1,1,1,1,0,0
3,11,8,1,0,0,1,1,1,1,1,1,1,0,0
2,12,10,1,0,0,0,1,1,1,1,1,1,1,0
4,13,9,1,0,0,1,1,1,1,1,0,1,1,1
2,11,9,1,0,0,1,10,1,1,1,1,1,1,0
1,9,8,0,0,0,1,1,1,1,10,1,1,1,0
3,9,6,0,0,1,1,1,1,1,1,1,1,0,0
4,11,7,0,0,1,1,1,1,1,1,1,1,0,0
6,11,5,0,0,1,1,1,1,1,1,1,0,0,1
7,13,6,0,0,1,1,1,1,1,1,1,0,0,1
5,11,6,0,0,1,1,1,1,1,1,1,1,0,0
6,12,6,0,0,1,1,1,1,1,1,1,1,1,1
4,12,8,0,0,1,1,1,1,1,1,1,1,1,1
4,13,9,0,0,1,1,1,1,1,1,1,1,1,1
4,15,11,0,0,1,1,1,1,1,1,1,1,1,0
4,15,11,0,0,1,1,1,1,1,1,1,1,1,1
3,14,11,0,0,1,1,1,1,1,1,1,1,1,1
1,13,12,0,0,0,1,1,1,1,10,1,1,1,0
