0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
12,12,2,0,0,1,1,0,0,1,1,0,1,0,0
11,13,2,0,0,0,1,0,0,1,1,0,1,0,0
10,12,2,0,0,0,1,0,0,1,1,0,1,0,0
11,11,2,0,0,1,1,0,0,1,1,0,1,0,0
12,10,2,0,0,1,1,0,0,1,1,0,1,0,0
12,10,2,0,0,1,1,0,0,0,1,1,1,1,0
11,11,4,0,0,1,1,0,0,0,0,1,1,1,1
10,13,5,0,0,1,1,0,0,0,0,1,1,1,1
11,11,4,0,0,1,1,0,0,0,0,1,1,1,1
11,13,4,0,0,1,1,0,1,1,1,1,1,1,1
10,14,4,0,0,0,1,0,1,1,1,1,1,1,1
10,14,4,0,0,0,1,1,1,1,1,1,1,1,1
10,16,6,0,0,0,1,0,1,1,1,1,1,1,1
12,17,5,1,0,0,1,1,1,1,1,1,1,1,1
13,16,3,1,0,0,1,1,1,1,1,1,0,1,1
12,16,4,1,0,0,1,1,1,1,1,1,1,0,1
10,15,5,1,0,0,1,1,1,1,1,1,1,1,1
11,15,4,1,0,0,1,1,1,1,1,1,1,0,1
13,17,4,1,0,0,1,1,1,1,1,1,0,1,1
12,17,5,1,0,0,1,1,1,1,1,1,0,1,1
14,18,4,1,0,0,1,1,1,1,0,1,1,1,1
14,17,3,1,0,0,1,0,1,1,1,1,1,0,1
15,16,1,1,0,0,1,1,1,0,1,1,0,-10,1
16,18,2,1,0,0,1,1,1,0,1,1,0,1,1
17,19,2,1,0,0,1,1,0,0,1,0,1,1,0
17,19,2,1,0,0,1,1,0,0,1,0,1,1,0
16,18,2,1,0,0,1,1,0,0,1,0,1,1,0
16,17,1,1,0,0,1,1,1,0,1,0,1,-10,0
17,17,0,1,0,0,1,1,1,0,1,0,0,0,1
16,17,1,1,0,0,1,1,1,0,1,0,1,-10,0
17,18,1,1,0,0,1,1,1,0,1,0,1,-10,0
16,18,2,1,0,0,1,1,1,1,0,1,1,1,-10
17,19,2,1,0,0,1,1,1,1,0,1,1,1,-10
15,18,3,1,0,0,1,1,1,0,1,1,0,1,1
14,18,4,1,0,0,1,1,1,1,1,0,1,1,1
13,17,4,1,0,0,1,1,1,1,1,0,1,1,1
11,16,5,1,0,0,1,1,1,1,0,1,1,1,1
12,16,4,1,0,0,1,0,1,1,1,1,1,0,1
11,14,3,1,0,0,1,0,1,1,1,1,1,0,1
12,15,3,1,0,0,1,0,1,1,1,1,1,0,1
11,14,3,1,0,0,1,0,1,1,1,1,1,0,1
10,13,3,1,0,0,1,0,1,1,1,1,1,0,1
9,13,4,1,0,0,1,1,1,1,0,1,1,1,1
10,14,4,1,0,0,1,1,1,1,0,1,1,1,1
9,13,4,1,0,0,1,1,1,1,0,1,1,1,1
9,13,4,1,0,0,1,0,1,1,1,1,1,0,1
7,12,5,0,0,0,1,1,1,1,0,1,1,1,1
8,12,6,0,0,1,1,1,1,1,1,1,0,1,1
8,10,4,0,0,1,1,1,1,1,1,1,1,1,0
8,10,4,0,0,1,1,1,1,0,1,0,1,0,0
9,10,5,0,0,1,1,1,0,0,1,0,1,1,0
7,11,6,0,0,1,1,1,1,0,1,1,1,1,1
8,9,5,0,0,1,1,1,1,0,1,1,1,1,1
8,9,5,0,0,1,1,1,0,0,1,0,1,1,0
6,7,5,0,0,1,1,1,1,0,1,0,1,0,0
6,9,5,0,0,1,1,1,1,1,1,1,1,1,0
5,9,4,0,0,0,1,1,1,1,1,0,1,1,1
6,8,4,0,0,1,1,1,1,1,1,0,1,1,1
