0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15,14,1,2,2,0,0,0,1,1,0,1,0,1,1
14,14,2,2,2,0,0,0,1,1,0,1,0,1,1
12,14,2,1,2,0,0,0,1,1,0,1,0,1,1
12,15,3,2,2,0,0,0,1,1,0,1,0,1,1
12,14,2,2,2,0,0,1,1,0,1,1,1,1,0
12,13,1,2,2,0,0,1,1,0,1,1,1,1,0
12,13,1,2,2,0,0,1,1,0,1,1,1,1,0
11,14,3,2,2,0,0,1,1,0,1,1,1,1,0
13,14,3,2,2,0,0,1,1,1,1,0,1,1,1
15,15,2,2,2,0,0,0,1,1,0,1,0,1,1
14,16,2,2,2,0,0,0,1,1,0,1,0,1,1
13,15,2,2,2,0,0,0,1,1,0,1,0,1,1
13,15,2,2,2,0,0,0,1,1,0,1,0,1,1
14,16,2,2,2,0,0,0,1,1,0,1,1,0,0
13,16,3,2,2,0,0,0,1,1,0,1,0,1,1
11,15,4,1,2,0,0,0,1,1,0,1,0,1,1
11,14,3,1,2,0,0,0,1,1,0,1,0,1,1
11,13,2,2,2,0,0,1,1,1,1,0,1,1,1
10,13,3,2,2,0,0,1,1,1,1,0,1,1,1
9,13,4,1,2,0,0,1,1,1,1,0,1,1,1
10,14,4,2,2,0,0,1,1,0,1,1,1,1,0
9,14,5,2,2,0,0,1,1,0,1,1,1,1,0
7,13,6,2,2,0,0,1,0,1,1,1,1,0,1
8,13,5,2,2,0,0,1,0,1,1,1,1,0,1
9,13,4,2,2,0,0,1,0,1,1,1,1,0,1
7,12,5,1,2,0,0,0,1,1,1,1,0,1,1
7,10,5,1,2,1,0,1,1,1,0,1,1,1,1
6,10,4,1,2,0,0,1,1,1,0,1,1,1,1
7,10,5,1,2,1,0,1,1,1,0,1,1,1,1
5,8,3,1,2,0,0,1,1,1,1,1,1,1,0
6,10,4,2,2,0,0,1,1,1,1,0,1,1,0
5,9,4,1,2,0,0,1,1,1,1,1,1,1,0
7,9,2,0,2,0,0,1,1,1,0,1,1,1,1
7,9,2,0,2,0,0,1,1,1,0,1,1,1,1
7,8,1,0,2,0,0,1,1,1,1,1,1,1,0
8,7,1,1,2,0,0,1,1,1,1,1,1,1,0
7,7,2,1,2,0,0,1,1,1,1,1,1,1,0
8,8,2,1,2,0,0,1,1,1,0,1,1,1,1
8,8,0,2,2,0,0,0,1,1,1,1,0,1,1
9,7,2,2,2,0,0,0,1,1,1,1,0,1,1
8,6,4,1,2,0,0,0,1,1,1,1,0,1,1
8,8,2,2,2,0,0,1,1,1,0,1,1,1,1
9,7,2,2,2,0,0,1,1,1,0,1,1,1,1
9,7,2,2,2,0,0,0,1,1,1,1,0,0,0
8,7,3,2,2,0,0,0,1,1,1,1,0,0,0
9,7,4,2,2,0,0,0,1,1,1,1,0,0,0
8,7,5,1,2,0,0,1,1,1,0,1,1,1,1
9,9,4,2,2,0,0,0,1,1,1,1,0,0,0
8,9,5,2,2,0,0,1,1,1,0,1,1,1,1
8,9,5,2,2,0,0,1,1,1,0,1,1,1,1
8,8,4,2,2,0,0,1,1,1,0,1,1,1,1
8,8,6,1,2,0,0,0,1,1,1,1,0,1,1
10,8,8,1,2,0,0,1,1,1,0,1,1,1,1
9,9,10,1,2,1,0,1,1,1,0,1,1,1,1
8,10,10,1,2,1,0,0,1,1,1,1,0,1,1
9,9,10,1,2,1,0,1,1,1,0,1,1,1,1
9,9,10,1,2,1,0,1,1,1,0,1,1,1,1
8,9,11,1,2,1,0,1,1,1,0,1,1,1,1
8,8,10,1,2,1,0,1,1,1,0,1,1,1,1
7,9,10,1,2,1,0,0,1,1,1,1,0,1,1
8,10,10,1,2,1,0,1,0,1,1,1,1,0,1
9,10,9,1,2,1,0,1,0,1,1,1,1,0,1
9,11,10,1,2,1,0,1,0,1,1,1,1,0,1
10,11,9,1,2,1,0,1,0,1,1,1,1,0,1
9,10,7,1,2,1,0,1,0,1,1,1,1,0,1
8,10,6,1,2,1,0,1,0,1,1,1,1,0,1
6,9,5,1,2,1,0,0,1,1,1,1,0,1,1
7,9,4,1,2,1,0,1,0,1,1,1,1,0,1
6,10,6,1,2,1,0,1,0,1,1,1,1,0,1
6,10,6,1,2,1,0,1,0,1,1,1,1,0,1
4,8,4,0,2,1,0,0,1,1,1,1,0,1,1
4,9,5,0,2,1,0,0,1,1,1,1,0,1,1
5,9,4,0,2,2,0,1,1,1,0,1,1,1,1
6,11,5,0,2,2,0,1,1,0,1,1,0,1,1
4,9,5,0,2,2,0,1,0,1,1,1,1,1,1
5,11,6,0,2,2,0,1,1,0,1,1,0,1,1
6,12,6,0,2,2,0,0,1,0,1,0,1,1,1
8,13,5,0,2,2,0,0,0,1,1,1,1,1,1
9,12,3,0,2,2,0,0,0,1,1,1,1,1,1
9,12,3,0,2,2,0,1,1,1,1,1,1,0,1
11,12,3,0,2,2,0,0,0,1,1,1,1,1,1
11,12,5,0,2,2,0,1,1,1,1,1,1,0,1
12,13,5,0,2,2,0,0,0,1,1,1,1,1,1
11,12,5,0,2,2,0,1,1,1,1,1,1,0,1
10,10,4,0,2,2,0,1,1,0,1,1,0,1,1
8,8,4,0,2,1,0,1,0,1,1,1,1,1,1
8,9,3,0,2,1,0,1,1,0,1,1,0,1,1
