0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15,13,2,1,0,0,1,-10,1,0,1,0,1,0,0
14,12,2,1,0,0,1,-10,1,0,1,0,1,0,0
13,12,1,1,0,0,1,1,1,0,-10,0,1,1,0
12,10,2,1,0,0,1,-10,1,0,1,0,1,1,0
12,11,1,1,0,0,1,1,1,0,-10,0,1,1,0
11,9,2,1,0,0,1,-10,1,0,1,0,1,1,0
11,11,2,1,0,0,1,1,1,0,1,0,1,0,0
11,10,1,1,0,0,1,1,-10,0,1,0,1,1,0
11,11,2,1,0,0,1,1,1,0,1,0,1,1,0
13,10,3,1,0,0,1,1,1,0,1,0,1,0,0
12,10,4,1,0,0,1,0,1,1,1,1,0,1,0
11,9,2,1,0,0,1,0,1,1,0,1,1,1,1
12,10,4,1,0,0,1,0,1,1,1,1,0,1,0
13,9,4,1,0,0,1,1,1,1,0,0,0,0,0
13,10,3,1,0,0,1,1,1,1,0,0,0,0,0
13,10,3,1,0,0,1,1,1,1,0,0,0,0,0
13,11,4,1,0,0,1,1,1,1,0,0,0,0,0
14,13,3,1,0,0,1,1,1,1,0,0,0,0,0
14,15,1,1,0,0,1,0,1,1,1,-10,0,1,0
14,14,0,1,0,0,1,1,1,0,1,0,1,0,0
13,13,0,1,0,0,1,1,1,0,1,0,1,0,0
12,11,1,1,0,0,1,1,1,0,-10,0,1,0,0
10,11,1,1,0,0,1,0,1,1,1,-10,0,1,0
12,11,1,1,0,0,1,1,-10,1,0,0,0,0,0
11,10,1,1,0,0,1,1,-10,1,0,0,0,0,0
10,10,2,1,0,0,1,1,1,-10,0,0,0,0,0
9,9,2,1,0,0,1,1,1,-10,0,0,0,0,0
8,9,1,1,0,0,1,0,1,1,1,-10,0,1,0
8,10,2,1,0,0,1,0,1,1,0,1,1,1,-10
8,8,2,0,0,1,1,1,1,1,0,1,0,1,-10
7,8,3,0,0,1,1,1,1,1,0,1,0,1,1
8,8,4,0,0,1,1,0,1,1,1,1,0,1,1
10,8,4,0,0,1,1,0,1,1,0,1,1,1,1
10,8,4,0,0,1,1,0,1,1,0,1,1,1,1
10,7,3,0,0,1,1,1,1,0,1,0,1,1,0
11,8,3,0,0,1,1,1,1,0,1,0,1,1,0
12,8,4,0,0,1,1,1,1,0,1,0,1,1,0
12,6,6,0,0,1,1,0,0,1,1,0,1,1,0
10,6,4,0,0,1,1,1,1,0,1,0,1,1,0
8,6,4,0,0,1,1,1,1,1,0,1,0,1,1
8,7,5,0,0,1,1,1,1,0,1,0,1,1,0
7,6,3,0,0,1,1,1,1,0,1,0,1,1,0
6,6,2,0,0,1,1,1,1,0,1,0,1,1,0
5,7,2,0,0,0,1,1,1,0,1,0,1,1,0
4,7,3,0,0,0,1,1,1,0,1,0,1,1,0
4,6,4,0,0,0,1,1,1,0,1,0,1,1,0
5,6,3,0,0,0,1,1,1,0,1,0,1,1,0
7,6,1,1,0,0,1,1,1,0,-10,0,1,1,0
7,6,1,1,0,0,1,1,1,0,-10,0,1,1,0
6,7,3,0,0,0,1,1,1,0,1,0,1,1,0
5,7,2,0,0,0,1,1,1,0,1,0,1,1,0
5,7,4,0,0,1,1,1,1,1,0,1,0,1,1
5,8,3,1,0,0,1,0,1,1,0,1,1,1,1
5,6,1,0,0,0,1,1,1,0,1,0,1,-10,0
6,7,1,0,0,0,1,1,1,0,1,0,1,-10,0
7,7,2,0,0,1,1,1,1,0,1,0,1,1,0
7,7,0,1,0,0,1,1,1,0,1,0,1,1,0
7,6,1,1,0,0,1,1,-10,0,1,0,1,1,0
9,7,2,1,0,0,1,1,1,0,1,0,1,1,0
7,5,2,1,0,0,1,-10,1,0,1,0,1,1,0
5,6,1,0,0,0,1,0,-10,1,1,1,0,1,1
4,7,3,0,0,0,1,1,0,1,1,1,1,0,1
5,9,4,0,0,1,1,1,0,1,1,1,1,0,1
4,8,4,0,0,0,1,1,0,1,1,1,1,0,1
3,9,6,0,0,0,1,1,1,0,0,1,1,1,0
3,8,5,0,0,0,1,1,1,0,0,1,1,1,0
4,7,5,1,0,0,1,1,1,0,0,1,1,1,0
4,7,7,1,0,0,1,0,1,1,1,0,1,1,0
3,6,5,1,0,0,1,1,1,0,0,1,1,1,0
5,6,7,1,0,0,1,0,1,1,1,0,1,1,0
5,6,7,1,0,0,1,0,1,1,1,0,1,1,0
4,7,7,1,0,0,1,0,1,1,1,0,1,1,0
4,7,7,1,0,0,1,1,1,0,1,0,1,1,1
4,9,9,1,0,0,1,1,1,1,0,1,1,1,1
4,8,8,1,0,0,1,1,0,1,1,1,0,1,1
4,8,8,1,0,0,1,1,0,1,1,1,0,1,1
3,7,8,1,0,0,1,1,0,1,1,1,0,1,1
3,8,7,1,0,0,1,0,1,1,1,0,1,1,0
3,7,6,1,0,0,1,0,1,1,1,0,1,1,0
3,7,6,1,0,0,1,0,1,1,1,0,1,1,0
3,8,7,1,0,0,1,0,1,1,1,0,1,1,0
3,6,7,1,0,0,1,1,0,1,1,1,0,1,1
2,6,6,1,0,0,1,10,0,1,1,1,0,1,1
1,7,6,0,0,0,1,1,0,1,10,1,0,1,1
