0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
14,14,0,0,0,1,1,1,1,0,1,0,1,1,0
14,13,1,0,0,1,1,1,1,0,-10,0,1,1,0
13,13,0,0,0,1,1,0,1,1,1,1,0,1,1
15,15,2,0,0,1,1,-10,1,0,1,0,1,1,0
15,14,1,0,0,1,1,1,1,0,-10,0,1,1,0
15,13,2,0,0,1,1,1,1,0,1,0,-10,1,0
14,11,3,0,0,1,1,1,1,0,1,0,1,1,0
14,10,4,0,0,1,1,1,1,0,1,0,1,1,0
14,11,3,0,0,1,1,1,1,0,1,0,1,1,0
14,11,3,0,0,1,1,1,1,0,1,0,1,1,0
12,11,1,0,0,1,1,1,1,1,1,1,0,-10,1
12,10,2,0,0,1,1,1,1,1,1,1,0,1,1
13,10,3,0,0,1,1,1,1,0,1,1,1,1,1
14,10,4,0,0,1,1,1,1,0,1,1,1,1,1
13,10,3,0,0,1,1,1,1,0,1,1,1,1,1
13,9,4,0,0,1,1,1,1,0,1,1,1,1,1
13,10,3,0,0,1,1,1,1,1,1,1,0,1,1
12,10,2,0,0,1,1,1,1,1,0,1,-10,1,1
14,12,2,0,0,1,1,1,1,0,1,0,-10,1,0
13,12,1,0,0,1,1,1,1,0,1,0,1,-10,0
13,11,2,0,0,1,1,1,1,0,1,0,1,1,0
13,12,1,0,0,1,1,1,1,0,1,0,1,-10,0
12,10,2,0,0,1,1,1,1,0,1,0,1,1,0
11,8,3,0,0,1,1,1,1,0,1,0,1,1,0
12,9,3,0,0,1,1,1,1,0,1,0,1,1,0
12,9,5,0,0,1,1,1,1,0,1,0,1,1,0
10,8,6,0,0,1,1,1,1,1,1,1,0,1,1
10,7,5,0,0,1,1,1,1,1,0,1,1,1,1
11,8,3,0,0,1,1,1,1,0,1,0,1,1,0
10,8,2,0,0,1,1,1,1,0,1,0,1,1,0
10,8,2,0,0,1,1,1,1,0,1,0,1,1,0
10,8,2,0,0,1,1,1,1,0,1,0,1,1,0
10,6,4,0,0,1,1,1,1,0,1,0,1,1,0
9,5,4,0,0,1,1,1,1,0,1,0,1,1,0
8,6,4,0,0,1,1,1,1,0,1,0,1,1,0
7,6,3,0,0,1,1,1,1,0,1,0,1,1,0
