0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,14,2,0,2,2,0,0,0,1,0,1,0,1,1
15,13,2,0,2,2,0,0,1,1,1,0,1,1,1
13,12,1,0,2,2,0,1,1,0,1,1,1,1,1
13,11,2,0,2,2,0,1,1,0,1,1,1,1,1
12,11,1,0,2,2,0,1,1,1,1,1,0,0,1
12,10,2,0,2,1,0,1,1,1,1,1,0,0,1
12,10,2,0,2,1,0,1,1,1,1,1,0,1,1
10,11,1,1,2,0,0,1,1,1,0,1,1,1,1
11,11,2,1,2,1,0,1,1,1,1,1,0,1,1
12,11,3,1,2,1,0,1,1,1,1,1,0,1,1
12,10,4,0,2,1,0,1,0,0,1,1,1,1,1
11,9,2,0,2,1,0,1,0,0,1,1,1,1,1
12,10,4,1,2,1,0,1,0,0,1,1,1,1,1
13,9,4,0,2,1,0,1,0,0,1,1,1,1,1
13,10,3,0,2,2,0,1,0,0,1,1,1,1,1
13,10,3,0,2,2,0,1,0,0,1,1,1,1,1
13,11,4,0,2,2,0,1,0,0,1,1,1,1,1
13,12,3,0,2,2,0,1,0,0,1,1,1,1,1
13,14,1,0,2,2,0,1,1,0,1,1,1,1,1
15,15,0,0,2,2,0,0,1,1,0,1,0,1,1
14,14,0,0,2,2,0,0,1,1,0,1,0,0,0
13,12,1,0,2,2,0,1,1,1,1,1,0,0,1
11,12,1,0,2,2,0,1,1,1,1,1,0,1,1
11,10,1,0,2,2,0,1,1,1,1,1,1,1,1
12,11,1,0,2,2,0,0,0,0,1,1,1,1,1
11,11,2,0,2,2,0,1,1,1,1,1,1,1,1
10,10,2,0,2,2,0,1,1,0,1,1,1,1,1
8,9,1,0,2,2,0,1,1,1,1,1,1,1,1
7,9,2,0,2,1,0,1,1,1,1,1,1,1,1
7,9,2,0,2,1,0,1,1,0,1,1,1,1,1
8,9,3,1,2,1,0,1,1,1,1,1,1,1,1
8,8,4,1,2,1,0,1,1,1,1,1,1,1,1
9,7,4,1,2,0,0,1,1,1,1,1,1,1,1
10,8,4,1,2,0,0,1,1,1,1,1,1,1,1
11,8,3,1,2,0,0,1,1,1,1,1,1,1,1
10,7,3,1,2,0,0,1,1,1,1,1,1,1,1
12,8,4,2,2,0,0,1,1,1,1,1,1,1,1
13,7,6,2,2,0,0,1,1,1,1,1,1,1,1
11,7,4,1,2,0,0,1,1,1,1,1,1,1,1
9,5,4,1,2,0,0,1,1,1,1,0,1,1,1
9,6,5,1,2,1,0,0,1,1,1,1,1,1,0
7,6,3,1,2,1,0,0,1,1,0,1,1,1,1
7,7,2,1,2,1,0,0,1,1,0,1,1,1,1
6,6,2,1,2,1,0,1,1,1,1,0,1,1,1
5,8,3,0,2,1,0,1,1,1,1,1,1,1,0
4,6,4,0,2,1,0,1,1,1,1,1,1,0,1
4,5,3,0,2,1,0,1,1,1,1,1,1,0,1
6,5,1,0,2,2,0,1,1,1,1,1,1,1,0
6,5,1,0,2,0,0,0,1,1,0,1,0,1,1
6,7,3,0,2,1,0,1,1,0,0,1,0,1,1
6,8,2,0,2,1,0,1,1,0,0,1,0,1,1
4,8,4,0,2,1,0,1,0,1,1,1,1,1,1
4,7,3,0,2,1,0,1,1,1,1,1,1,1,0
6,7,1,0,2,2,0,1,0,1,1,1,1,1,1
5,6,1,0,2,1,0,1,1,1,1,1,1,1,0
7,7,2,1,2,1,0,0,1,1,0,1,0,1,1
6,6,0,0,2,0,0,0,1,1,0,1,0,1,1
8,7,1,0,2,2,0,1,1,0,0,1,0,1,1
8,6,2,0,2,2,0,1,0,1,1,1,1,1,1
8,6,2,0,2,2,0,1,1,0,0,1,0,1,1
6,5,1,0,2,1,0,0,1,1,0,1,0,1,1
4,7,3,1,2,0,0,0,1,1,0,1,1,1,1
4,8,4,1,2,0,0,0,1,1,0,1,1,1,1
5,9,4,2,2,0,0,0,1,1,1,1,1,1,0
3,9,6,1,2,0,0,0,1,1,0,1,1,1,1
3,8,5,1,2,0,0,0,1,1,0,1,1,1,1
3,8,5,1,2,0,0,0,1,1,0,1,1,1,1
5,8,7,1,2,1,0,0,1,1,0,1,0,1,1
3,6,5,1,2,1,0,1,1,1,1,1,1,1,0
4,7,7,1,2,1,0,1,1,1,1,1,1,1,0
5,6,7,1,2,1,0,1,0,1,1,1,1,1,1
5,6,7,1,2,1,0,1,0,1,1,1,1,1,1
5,6,7,1,2,1,0,1,1,1,1,1,1,1,0
3,8,9,1,2,1,0,1,1,1,1,0,1,1,1
3,9,8,1,2,1,0,0,1,1,0,1,1,1,1
4,8,8,1,2,1,0,0,1,1,0,1,0,1,1
4,8,8,1,2,1,0,0,1,1,0,1,0,1,1
4,7,7,1,2,1,0,1,1,1,1,1,1,1,0
3,7,6,1,2,1,0,1,1,1,1,0,1,1,1
3,7,6,1,2,1,0,1,1,1,1,0,1,1,1
3,8,7,1,2,1,0,1,1,1,1,0,1,1,1
2,7,7,1,2,1,0,1,1,1,1,0,1,1,10
3,5,6,1,2,1,0,1,1,1,1,1,1,1,0
2,6,6,1,2,1,0,1,1,1,1,0,1,1,10
